state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id,attributes_id,origin_idx,context_id,context_user_id,context_parent_id,last_updated_ts,last_changed_ts
238600900,NULL,sensor.water_tank_liters,8909,NULL,NULL,NULL,NULL,NULL,238600723,29,0,01GTKJHKTXWAE2NQJRGCNW2R7V,NULL,NULL,1677841715.03849,NULL
243323957,NULL,sensor.water_tank_liters,8916,NULL,NULL,NULL,NULL,NULL,243323924,29,0,01GVAPXZXWZ7NK6J1FKJJ0ZJ20,NULL,NULL,1678618066.87743,NULL
220588300,NULL,sensor.water_tank_liters,8916,NULL,NULL,NULL,2023-01-26 20:05:37.770890,NULL,220588250,29,0,01GQQTZ3B9TDVPJFC57E5QQX64,NULL,NULL,1674763537.77089,NULL
236432598,NULL,sensor.water_tank_liters,8895,NULL,NULL,NULL,NULL,NULL,236432539,29,0,01GT94PSW2AW1NG2KST9FSFQX4,NULL,NULL,1677491660.67505,NULL
221371844,NULL,sensor.water_tank_liters,8915,NULL,NULL,NULL,2023-01-28 15:56:17.866487,NULL,221371814,29,0,01GQWHG029CG8GBDQE1NKFQ8RZ,NULL,NULL,1674921377.86649,NULL
215698786,NULL,sensor.water_tank_liters,8912,NULL,NULL,NULL,2023-01-16 04:05:56.052355,NULL,215698757,29,0,01GPWC2N6J0WD75X57NZGR8319,NULL,NULL,1673841956.05236,NULL
241641894,NULL,sensor.water_tank_liters,7786,NULL,NULL,NULL,NULL,NULL,241641828,29,0,01GV2B5ATJHN9HQB60ZW7YWFB9,NULL,NULL,1678337289.04398,NULL
216349731,NULL,sensor.water_tank_liters,8883,NULL,NULL,NULL,2023-01-17 17:35:36.892261,NULL,216349678,29,0,01GQ0CSYDVK98BGY8YF8MSFX84,NULL,NULL,1673976936.89226,NULL
242585711,NULL,sensor.water_tank_liters,7258,NULL,NULL,NULL,NULL,NULL,242585683,29,0,01GV71XD4M0Q7ZESTR9ZTJ204C,NULL,NULL,1678495364.24556,NULL
223122779,NULL,sensor.water_tank_liters,8908,NULL,NULL,NULL,2023-02-01 10:17:20.144184,NULL,223122667,29,0,01GR67P70FJ2EGD8P5609K2CFM,NULL,NULL,1675246640.14418,NULL
232124679,NULL,sensor.water_tank_liters,6502,NULL,NULL,NULL,NULL,NULL,232124648,29,0,01GSJZCAN482GCJMP3MHWC64QE,NULL,NULL,1676747877.02956,NULL
227452003,NULL,sensor.water_tank_liters,8659,NULL,NULL,NULL,NULL,NULL,227451971,29,0,01GRWCM9CMZ1V0Q1YHS0ZJJPZ3,NULL,NULL,1675990017.42958,NULL
221653560,NULL,sensor.water_tank_liters,8465,NULL,NULL,NULL,2023-01-29 06:34:26.305422,NULL,221653523,29,0,01GQY3QXKZ3ZDS31X9JWGBER46,NULL,NULL,1674974066.30542,NULL
229393929,NULL,sensor.water_tank_liters,8917,NULL,NULL,NULL,NULL,NULL,229393869,29,0,01GS5TYNV5JSMH64P90GP5WR86,NULL,NULL,1676307027.81458,NULL
219565139,NULL,sensor.water_tank_liters,8916,NULL,NULL,NULL,2023-01-24 15:03:18.624132,NULL,219565093,29,0,01GQJ4W3AZKRT71TJXQFVZSWA2,NULL,NULL,1674572598.62413,NULL
226556890,NULL,sensor.water_tank_liters,8911,NULL,NULL,NULL,NULL,NULL,226556773,29,0,01GRR32DGJNPSB1RBQP3Z3YSWC,NULL,NULL,1675845776.91509,NULL
235327029,NULL,sensor.water_tank_liters,8918,NULL,NULL,NULL,NULL,NULL,235326960,29,0,01GT3PEP5ADKPKQAQNT2THKQ9B,NULL,NULL,1677308942.50653,NULL
229427490,NULL,sensor.water_tank_liters,8926,NULL,NULL,NULL,NULL,NULL,229427452,29,0,01GS608YWMQR6WDR1TPQQ0W07P,NULL,NULL,1676312607.637,NULL
243565184,NULL,sensor.water_tank_liters,8371,NULL,NULL,NULL,NULL,NULL,243565142,29,0,01GVC8MATKVNF37MRV7H4C1BPX,NULL,NULL,1678670179.15646,NULL
232722977,NULL,sensor.water_tank_liters,8644,NULL,NULL,NULL,NULL,NULL,232722931,29,0,01GSP1DR01CB19A8JEG81V4V1W,NULL,NULL,1676850683.90647,NULL
237179437,NULL,sensor.water_tank_liters,7217,NULL,NULL,NULL,NULL,NULL,237179329,29,0,01GTCPJ1932VZ1ZPS5N0ZGTEXY,NULL,NULL,1677611042.08433,NULL
231359713,NULL,sensor.water_tank_liters,6628,NULL,NULL,NULL,NULL,NULL,231359659,29,0,01GSF8EGW4V2CHEN6WTKPCH9BR,NULL,NULL,1676623168.38923,NULL
214908280,NULL,sensor.water_tank_liters,8914,NULL,NULL,NULL,2023-01-14 06:31:11.051166,NULL,214908258,29,0,01GPQFK5YA6BXDT1GBPPNVRPF8,NULL,NULL,1673677871.05117,NULL
218048716,NULL,sensor.water_tank_liters,8870,NULL,NULL,NULL,2023-01-21 06:46:47.498878,NULL,218048674,29,0,01GQ9H8SE9GPJE6PFYS1JNT57Y,NULL,NULL,1674283607.49888,NULL
217014251,NULL,sensor.water_tank_liters,8905,NULL,NULL,NULL,2023-01-19 01:50:53.297710,NULL,217014183,29,0,01GQ3VHHBGZ1VAGQXNSDRHSH17,NULL,NULL,1674093053.29771,NULL
221829880,NULL,sensor.water_tank_liters,8174,NULL,NULL,NULL,2023-01-29 16:57:05.151050,NULL,221829834,29,0,01GQZ7C0VY87MDGYRFD0PW8AY4,NULL,NULL,1675011425.15105,NULL
224306868,NULL,sensor.water_tank_liters,8909,NULL,NULL,NULL,2023-02-03 20:10:58.826585,NULL,224306826,29,0,01GRCEEMW9DM56XAT7GCPH4GQZ,NULL,NULL,1675455058.82659,NULL
219040086,NULL,sensor.water_tank_liters,8903,NULL,NULL,NULL,2023-01-23 13:10:26.497551,NULL,219040023,29,0,01GQFC0PY0VEFPJZSVN8VGBP7F,NULL,NULL,1674479426.49755,NULL
241199439,NULL,sensor.water_tank_liters,8509,NULL,NULL,NULL,NULL,NULL,241199417,29,0,01GV067JYE2G3MQJQH8WHMVWA0,NULL,NULL,1678265011.15196,NULL
230940959,NULL,sensor.water_tank_liters,5633,NULL,NULL,NULL,NULL,NULL,230940882,29,0,01GSDB0YCM7CX2NHBF5KZ90W11,NULL,NULL,1676558760.34144,NULL
226860474,NULL,sensor.water_tank_liters,8623,NULL,NULL,NULL,NULL,NULL,226860240,29,0,01GRSM345PB2TSZ3P9NQYZNAM6,NULL,NULL,1675897180.34286,NULL
226662758,NULL,sensor.water_tank_liters,8900,NULL,NULL,NULL,NULL,NULL,226662665,29,0,01GRRN2Q85M7MGWYJNWVWBTK16,NULL,NULL,1675864661.25362,NULL
221949169,NULL,sensor.water_tank_liters,7297,NULL,NULL,NULL,2023-01-29 22:24:39.578210,NULL,221949128,29,0,01GQZT3TMSQME3R1YR2PRQNNEV,NULL,NULL,1675031079.57821,NULL
219283797,NULL,sensor.water_tank_liters,8868,NULL,NULL,NULL,2023-01-23 23:58:30.213497,NULL,219283765,29,0,01GQGH3BA45SEDV4C9Y6883J80,NULL,NULL,1674518310.2135,NULL
233748445,NULL,sensor.water_tank_liters,8770,NULL,NULL,NULL,NULL,NULL,233748426,29,0,01GSV9JP868EN8MJ1KSJVZGK2S,NULL,NULL,1677027006.72797,NULL
232011831,NULL,sensor.water_tank_liters,7042,NULL,NULL,NULL,NULL,NULL,232011776,29,0,01GSJD1FXZBGDC3ZE4MN9MWHVT,NULL,NULL,1676728647.61629,NULL
217727513,NULL,sensor.water_tank_liters,8888,NULL,NULL,NULL,2023-01-20 15:16:24.185518,NULL,217727476,29,0,01GQ7W16FR90M4FNYN46N4F64N,NULL,NULL,1674227784.18552,NULL
225324274,NULL,sensor.water_tank_liters,7693,NULL,NULL,NULL,NULL,NULL,225324081,29,0,01GRHSSQA3NQ110S33FYASY6GC,NULL,NULL,1675634728.26041,NULL
227744002,NULL,sensor.water_tank_liters,8240,NULL,NULL,NULL,NULL,NULL,227743869,29,0,01GRXR64J2E25G56NV86D1E7P3,NULL,NULL,1676035691.07498,NULL
224262201,NULL,sensor.water_tank_liters,8894,NULL,NULL,NULL,2023-02-03 18:20:19.012598,NULL,224262153,29,0,01GRC840P3KYM5FAR7PYV6MXQ1,NULL,NULL,1675448419.0126,NULL
228427805,NULL,sensor.water_tank_liters,8924,NULL,NULL,NULL,NULL,NULL,228427728,29,0,01GS112GJ3HG2R0GTWTQ0RDAA2,NULL,NULL,1676145672.77263,NULL
216321081,NULL,sensor.water_tank_liters,8893,NULL,NULL,NULL,2023-01-17 16:04:06.989619,NULL,216321048,29,0,01GQ07JD6C00KZXB147QP20BNF,NULL,NULL,1673971446.98962,NULL
226819893,NULL,sensor.water_tank_liters,8720,NULL,NULL,NULL,NULL,NULL,226819830,29,0,01GRSDHFCRAENFDN0DEDB11ET2,NULL,NULL,1675890310.55395,NULL
223688108,NULL,sensor.water_tank_liters,5500,NULL,NULL,NULL,2023-02-02 15:36:36.944502,NULL,223688083,29,0,01GR9CBHTFS8R63P8NEJWBB42X,NULL,NULL,1675352196.9445,NULL
238107787,NULL,sensor.water_tank_liters,5791,NULL,NULL,NULL,NULL,NULL,238107760,29,0,01GTH4MPVB07FKHGQKZ9P8TJ5G,NULL,NULL,1677760027.50206,NULL
228744971,NULL,sensor.water_tank_liters,8678,NULL,NULL,NULL,NULL,NULL,228744922,29,0,01GS2KH4XB9F1XAZ68RWVNNRJX,NULL,NULL,1676198581.16411,NULL
236155842,NULL,sensor.water_tank_liters,7414,NULL,NULL,NULL,NULL,NULL,236155800,29,0,01GT7XAA4CJBA3MJ1VWVA3FEMR,NULL,NULL,1677450356.87842,NULL
228355113,NULL,sensor.water_tank_liters,8915,NULL,NULL,NULL,NULL,NULL,228355058,29,0,01GS0NRE0A96VCTPHE2RGTRC1A,NULL,NULL,1676133808.1398,NULL
223251081,NULL,sensor.water_tank_liters,6557,NULL,NULL,NULL,2023-02-01 17:02:39.434058,NULL,223251037,29,0,01GR6YWCA8N5P20WFANJD3Q0RS,NULL,NULL,1675270959.43406,NULL
